Owner,Name,Stars,URL,Created Date,Branch Count,Forks Count,Languages,Languages Proportions
florinpop17,app-ideas,67890,https://github.com/florinpop17/app-ideas,2019-02-25,9,8707,[],{}
langchain-ai,langchain,66944,https://github.com/langchain-ai/langchain,2022-10-17,30,9640,"['Python', 'Jupyter Notebook', 'MDX', 'Makefile', 'XSLT', 'HTML', 'Shell', 'Dockerfile', 'TeX', 'JavaScript']","{'Python': 0.7908213891671545, 'Jupyter Notebook': 0.20198121885170117, 'MDX': 0.004805737533147833, 'Makefile': 0.0006195382036709839, 'XSLT': 0.0005106111998288314, 'HTML': 0.0004423096519651041, 'Shell': 0.00033397510268930365, 'Dockerfile': 0.00028217764631681153, 'TeX': 0.00018975473396589426, 'JavaScript': 1.3287909559609901e-05}"
pallets,flask,64828,https://github.com/pallets/flask,2010-04-06,14,16001,"['Python', 'HTML', 'Shell', 'CSS']","{'Python': 0.9988299179246776, 'HTML': 0.0007630970056450336, 'Shell': 0.0003730696472042387, 'CSS': 3.391542247311261e-05}"
apple,swift,64407,https://github.com/apple/swift,2015-10-23,30,10343,"['C++', 'Swift', 'C', 'Python', 'CMake', 'Objective-C', 'Shell', 'Objective-C++', 'LLVM', 'PowerShell', 'Emacs Lisp', 'Vim Script', 'Assembly', 'Batchfile', 'Roff', 'DTrace', 'Makefile', 'Ruby', 'D']","{'C++': 0.4927734961096929, 'Swift': 0.42104385865098654, 'C': 0.05108722349202315, 'Python': 0.01718515067477816, 'CMake': 0.007548289994566894, 'Objective-C': 0.00478373422958346, 'Shell': 0.001928524715444174, 'Objective-C++': 0.0015815636102224514, 'LLVM': 0.0005950761972343191, 'PowerShell': 0.0005744722421571881, 'Emacs Lisp': 0.0005289901072794787, 'Vim Script': 0.00018289663314478065, 'Assembly': 4.044074161415604e-05, 'Batchfile': 3.781958243546074e-05, 'Roff': 3.36366873001212e-05, 'DTrace': 2.3681762196365538e-05, 'Makefile': 2.1562915752263416e-05, 'Ruby': 1.9471468184593647e-05, 'D': 1.011018540353901e-05}"
papers-we-love,papers-we-love,77478,https://github.com/papers-we-love/papers-we-love,2013-12-15,1,5705,['Shell'],{'Shell': 1.0}
521xueweihan,HelloGitHub,77353,https://github.com/521xueweihan/HelloGitHub,2016-05-04,1,9396,['Python'],{'Python': 1.0}
gothinkster,realworld,76700,https://github.com/gothinkster/realworld,2016-02-26,19,7084,"['TypeScript', 'MDX', 'CSS', 'HTML', 'JavaScript', 'Shell', 'Procfile']","{'TypeScript': 0.8674747969470634, 'MDX': 0.061494938982082366, 'CSS': 0.055102342761519936, 'HTML': 0.010379678380474266, 'JavaScript': 0.003910554671237908, 'Shell': 0.0013800457124199012, 'Procfile': 0.00025764254520223664}"
tensorflow,models,76160,https://github.com/tensorflow/models,2016-02-05,30,46196,"['Jupyter Notebook', 'Python', 'C++', 'Shell', 'Starlark', 'Dockerfile']","{'Jupyter Notebook': 0.5241330393091864, 'Python': 0.46146671890281404, 'C++': 0.010659192360017793, 'Shell': 0.0018154154434792192, 'Starlark': 0.0017200858250164689, 'Dockerfile': 0.00020554815948608707}"
ripienaar,free-for-dev,75957,https://github.com/ripienaar/free-for-dev,2015-03-18,1,8275,['HTML'],{'HTML': 1.0}
laravel,laravel,75123,https://github.com/laravel/laravel,2011-06-08,18,24096,"['PHP', 'Blade', 'JavaScript']","{'PHP': 0.7212217037522656, 'Blade': 0.2760306197215688, 'JavaScript': 0.0027476765261655934}"
MisterBooo,LeetCodeAnimation,74193,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06,1,14000,"['Java', 'Python', 'C++']","{'Java': 0.9950318538594206, 'Python': 0.0041955580584984685, 'C++': 0.0007725880820808841}"
django,django,73837,https://github.com/django/django,2012-04-28,27,30307,"['Python', 'HTML', 'JavaScript', 'CSS', 'Shell', 'Smarty', 'Makefile', 'Procfile']","{'Python': 0.9713607503306536, 'HTML': 0.014159876386627598, 'JavaScript': 0.008987394088002401, 'CSS': 0.0054119884510377995, 'Shell': 4.713220075451138e-05, 'Smarty': 2.2837852528762004e-05, 'Makefile': 7.282478484936863e-06, 'Procfile': 2.7382119103362608e-06}"
sveltejs,svelte,73372,https://github.com/sveltejs/svelte,2016-11-20,19,4084,"['JavaScript', 'Svelte', 'HTML', 'TypeScript', 'CSS']","{'JavaScript': 0.7732191968235644, 'Svelte': 0.21597724726226164, 'HTML': 0.0069276813658033865, 'TypeScript': 0.0024282635658605077, 'CSS': 0.0014476109825100312}"
mtdvio,every-programmer-should-know,73285,https://github.com/mtdvio/every-programmer-should-know,2017-08-24,2,7017,[],{}
tonsky,FiraCode,73038,https://github.com/tonsky/FiraCode,2014-11-11,2,3050,"['Clojure', 'Shell', 'Python', 'HTML', 'CSS', 'PureBasic', 'Dockerfile', 'Makefile']","{'Clojure': 0.45952182794885377, 'Shell': 0.22287584171899827, 'Python': 0.19461678141787092, 'HTML': 0.077608383142922, 'CSS': 0.025837935991526065, 'PureBasic': 0.01127336006658092, 'Dockerfile': 0.005939320571990618, 'Makefile': 0.0023265491412574712}"
FortAwesome,Font-Awesome,72398,https://github.com/FortAwesome/Font-Awesome,2012-02-17,6,12441,"['JavaScript', 'SCSS', 'CSS', 'Less']","{'JavaScript': 0.7826072191289132, 'SCSS': 0.074100200572733, 'CSS': 0.0721436259248524, 'Less': 0.0711489543735014}"
gin-gonic,gin,72327,https://github.com/gin-gonic/gin,2014-06-16,12,7750,"['Go', 'Makefile']","{'Go': 0.996035619620114, 'Makefile': 0.003964380379886026}"
